Chinese,LatinWJ,English,resident,Landbird
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
画眉 ,Garrulax canorus,Hwamei,R,1
画眉 ,Garrulax canorus,Hwamei,R,1
强脚树莺 ,Cettia fortipes,Brownish-flanked Bush Warbler,R,1
山麻雀 ,Passer rutilans,Russet Sparrow,R,1
暗灰鹃鵙 ,Coracina melaschistos,Black-winged Cuckooshrike,S,1
黑耳鸢 ,Milvus migrans,Black Kite,R,1
暗灰鹃鵙 ,Coracina melaschistos,Black-winged Cuckooshrike,S,1
暗灰鹃鵙 ,Coracina melaschistos,Black-winged Cuckooshrike,S,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
画眉 ,Garrulax canorus,Hwamei,R,1
黑鸢 ,Milvus migrans,Black Kite,R,1
黑鸢 ,Milvus migrans,Black Kite,R,1
黑鸢 ,Milvus migrans,Black Kite,R,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
黑鹎 ,Hypsipetes leucocephalus,Balck Bulbul,S,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
大山雀 ,Parus major,Great Tit,R,1
栗背短脚鹎 ,Hemixos castanonotus,Chestnut Bulbul,R,1
黄臀鹎 ,Pycnonotus xanthorrhous,Brown-breasted Bulbul,R,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
北红尾鸲 ,Phoenicurus auroreus,Daurian Redstart,W,1
北红尾鸲 ,Phoenicurus auroreus,Daurian Redstart,W,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
北红尾鸲 ,Phoenicurus auroreus,Daurian Redstart,W,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
黑鸢 ,Milvus migrans,Black Kite,R,1
黑鸢 ,Milvus migrans,Black Kite,R,1
  小灰山椒鸟,Pericrocotus cantonensis,Swinhoe's Minivet,S,1
红头长尾山雀 ,Aegithalos concinnus,Black-throated Tit,R,1
山斑鸠 ,Streptopelia orientalis,Oriental Turtle Dove,R,1
 红头穗鹛,Stachyris ruficeps,Rufous-capped Babbler,R,1
峨眉柳莺？,Phylloscopus emeiensis,Emei Leaf Warbler,P,1
栗背短脚鹎 ,Hemixos castanonotus,Chestnut Bulbul,R,1
白头鹎 ,Pycnonotus sinensis,Light-vented Bulbul,R,1
 栗背短脚鹎,Hemixos castanonotus,Chestnut Bulbul,R,1
大山雀 ,Parus major,Great Tit,R,1
林雕,Ictinaetus malayensis,Black Eagle,W,1
林雕,Ictinaetus malayensis,Black Eagle,W,1
灰眶雀鹛 ,Alcippe morrisonia,Grey-cheeked Fulvetta,R,1
 白头鹎,Pycnonotus sinensis,Light-vented Bulbul,R,1
灰眶雀鹛 ,Alcippe morrisonia,Grey-cheeked Fulvetta,R,1
海鸥,Larus canus,Mew Gull,W,0
红胁蓝尾鸲 ,Tarsiger cyanurus,Orange-flanked Bush Robin,W,1
 棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,R,1
 棕脸鹟莺,Abroscopus albogularis,Rufous-faced Warbler,R,1
无,无,无,R,1
